url_from,url_to,nofollow,link_type,links_ext,link_text,first_seen,last_visited,domain_rank
http://arcc-web.azurewebsites.net/resources/student-basic-needs-resources/mental-health-resources/,https://www.samhsa.gov/find-help/national-helpline,follow,href,52,Learn more online,2020-11-24,2022-09-30 18:41:23,0
http://apjuice.blogspot.com/2018/08/facebook-cracks-down-on-opioid-dealers.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,15,the site,2021-05-21,2022-10-01 19:08:55,0
http://andrewcountyhealth.com/index.php/resources?limitstart=0,https://www.samhsa.gov/find-help/national-helpline,follow,href,16,website,2021-01-07,2022-08-27 06:27:32,14
http://andpor.com/index-722.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,40,Substance Abuse and Mental Health Services Administration (SAMHSA),2022-10-03,2022-10-03 11:38:25,0
http://anchor-partner.com/substance-misuse.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,23,About the SAMHSA National Helpline,2021-12-29,2022-10-22 07:49:41,0
http://anawt.top/socializing-safely-this-season-nationwide-impaired-driving-prevention-month/index.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,12,SAMHSAâs Nationwide Helpline,2022-05-06,2022-05-06 07:30:53,0
http://americanlegion223.com/index.php?id=89,https://www.samhsa.gov/find-help/national-helpline,follow,href,81,https://www.samhsa.gov/find-help/national-helpline,2021-06-01,2022-08-27 05:26:06,5
http://amatol.atlantic.edu/finaid/mental-health-services.php,https://www.samhsa.gov/find-help/national-helpline,follow,href,19,SAMHSA's Center for Substance Abuse Treatment,2019-11-11,2022-06-11 17:36:08,17
http://alternative-help.com/,https://www.samhsa.gov/find-help/national-helpline,follow,href,5,Addiction is such a scary thing,2021-05-06,2022-09-16 17:01:38,0
http://alrm.org/index-108.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,17,Substance Abuse and Mental Health Services Administration helpline,2022-10-25,2022-10-25 03:39:38,5
http://allthingsrelief.com/selling-alcohol-misuse-prevention-this-april/,https://www.samhsa.gov/find-help/national-helpline,follow,href,12,SAMHSAâs Nationwide Helpline,2022-05-20,2022-09-20 11:04:45,11
http://allofourhands.com/2018/05/18/how-to-get-your-drivers-license-back-after-a-dui-conviction/,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,6,drug rehab program,2019-02-17,2022-09-27 12:26:43,5
http://allergiesforecast.com/allergy/news/2656062320,https://www.samhsa.gov/find-help/national-helpline,follow,href,6,helpline,2022-05-28,2022-05-28 06:25:07,0
http://allergen.com/allergy/news/2656062320,https://www.samhsa.gov/find-help/national-helpline,follow,href,6,helpline,2022-05-28,2022-05-28 16:02:55,17
http://alexatwood86.weebly.com/blog/xanax-rehab-cost,http://www.samhsa.gov/find-help/national-helpline,follow,href,13,SAMHSA’s national helpline,2020-12-18,2022-11-10 01:12:24,0
http://alexatwood86.blogspot.com/2017/06/,http://www.samhsa.gov/find-help/national-helpline,follow,href,43,SAMHSA’s national helpline,2020-12-25,2022-09-30 06:17:14,5
http://alexandertgeorges.com/covid-relief.html,https://www.samhsa.gov/find-help/national-helpline,follow,href,3,"free, confidential helpline",2021-03-27,2022-09-27 11:44:04,5
http://aldeadelsollapulapu.com/suicide-prevention-saving-lives-now-and-beyond.html,http://www.samhsa.gov/find-help/national-helpline,follow,href,38,SAMHSA’s National Helpline,2022-09-27,2022-09-27 15:35:05,0
http://alcoholabusepedia.com,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,9,View Organization,2021-07-08,2022-05-27 06:04:49,0
